source,target,weight
123286962,20002647,89
123286962,20035220,106
123286962,20119828,107
123286962,20428488,103
123286962,20799205,116
123286962,20847375,7
123286962,20860636,57
123286962,21232215,133
123286962,21776886,90
123286962,22096796,139
123286962,22340296,114
123286962,22471951,108
123286962,23110383,131
123286962,23245942,93
123286962,23475292,50
123286962,23632659,58
123286962,23759726,100
123286962,24926069,62
123286962,25153016,101
123286962,26612772,63
123286962,26774437,27
123286962,27113401,97
123286962,27578194,108
123286962,28461301,108
123286962,28571706,74
123286962,29074901,96
123286962,29152006,86
123286962,30089175,68
123286962,30657250,70
123286962,30696048,98
123286962,31242327,54
123286962,31574289,94
123286962,32015730,98
123286962,32036337,59
123286962,32114010,69
123286962,33979139,46
123286962,34485997,101
123286962,35105028,71
123286962,36147226,55
123286962,36330522,57
123286962,38635467,108
123286962,38849535,88
123286962,39405387,114
123286962,39850798,92
123286962,40285813,71
123286962,40717912,89
123286962,41323999,80
123286962,42113378,58
123286962,43515331,111
123286962,43803347,110
123286962,43874346,107
123286962,43924392,69
123286962,44674811,89
123286962,45005205,45
123286962,47795185,102
123286962,48896524,91
123286962,49515300,72
123286962,49533202,66
123286962,49785794,51
123286962,50763777,93
123286962,52602572,81
123286962,52948030,110
123286962,53153566,89
123286962,53514759,104
123286962,55677437,101
123286962,56029223,54
123286962,56253945,65
123286962,56654439,89
123286962,56719936,80
123286962,56902010,90
123286962,57268484,79
123286962,57453426,87
123286962,58277206,95
123286962,59399511,33
123286962,60246997,47
123286962,60666668,73
123286962,63458501,106
123286962,63677967,100
123286962,66098142,89
123286962,67284155,87
123286962,67554284,101
123286962,67662990,100
123286962,71292989,105
123286962,71913125,64
123286962,72436782,79
123286962,72608525,34
123286962,73483562,98
123286962,73907780,88
123286962,74690457,93
123286962,76747292,66
123286962,77799436,45
123286962,81236501,50
123286962,81614455,107
123286962,83842318,67
123286962,83874759,64
123286962,83931490,78
123286962,84045725,23
123286962,84749428,93
123286962,85406940,40
123286962,86074398,95
123286962,86513567,108
123286962,87787529,81
123286962,88378293,81
123286962,88446514,79
123286962,88483927,99
123286962,88547166,100
123286962,89937639,78
123286962,90278385,109
123286962,91679584,114
123286962,92310413,55
123286962,92711203,71
123286962,93199706,88
123286962,93396188,96
123286962,93520135,109
123286962,94204359,97
123286962,94802209,87
123286962,94819648,76
123286962,95252069,73
123286962,95346935,105
123286962,95367253,116
123286962,96122828,61
